"oy_0.9","oy_0.8","or_0.9","or_0.8","of_0.9","of_0.8","oy_0.7","or_0.7","of_0.7","Escapement"
0,0,0,0,1,1,0,0,1,0
0,0,0.029,0.034,1,1,0,0.045,1,5000
0,0,0.106,0.154,1,1,0,0.234,1,10000
0,0.008,0.285,0.414,1,0.992,0.079,0.547,0.921,15000
0.014,0.136,0.511,0.638,0.986,0.864,0.402,0.748,0.598,20000
0.112,0.403,0.68,0.773,0.888,0.597,0.663,0.851,0.337,25000
0.329,0.631,0.782,0.851,0.671,0.369,0.79,0.905,0.21,30000
0.521,0.746,0.849,0.904,0.479,0.254,0.865,0.932,0.135,35000
0.668,0.82,0.895,0.927,0.331,0.18,0.904,0.947,0.096,40000
0.747,0.878,0.921,0.945,0.244,0.122,0.929,0.959,0.071,45000
0.787,0.901,0.936,0.952,0.186,0.094,0.941,0.964,0.059,50000
0.788,0.905,0.947,0.96,0.139,0.076,0.946,0.964,0.05,55000
0.74,0.9,0.954,0.964,0.108,0.063,0.948,0.971,0.038,60000
0.666,0.857,0.96,0.964,0.089,0.056,0.938,0.973,0.033,65000
0.571,0.786,0.964,0.97,0.074,0.046,0.905,0.975,0.031,70000
0.498,0.713,0.964,0.973,0.064,0.038,0.846,0.978,0.029,75000
0.422,0.62,0.965,0.973,0.059,0.034,0.769,0.978,0.028,80000
0.348,0.54,0.968,0.977,0.053,0.032,0.692,0.979,0.026,85000
0.289,0.479,0.967,0.976,0.043,0.029,0.618,0.981,0.022,90000
0.256,0.401,0.963,0.973,0.039,0.029,0.548,0.983,0.019,95000
0.222,0.331,0.955,0.97,0.035,0.028,0.482,0.982,0.018,1e+05
0.195,0.291,0.947,0.964,0.032,0.027,0.416,0.983,0.017,105000
0.167,0.267,0.927,0.96,0.032,0.024,0.355,0.978,0.013,110000
0.154,0.233,0.91,0.953,0.029,0.021,0.315,0.971,0.013,115000
0.126,0.211,0.889,0.934,0.029,0.018,0.282,0.966,0.012,120000
0.105,0.19,0.865,0.918,0.028,0.017,0.261,0.953,0.009,125000
0.092,0.173,0.837,0.896,0.028,0.017,0.229,0.939,0.009,130000
0.085,0.15,0.797,0.873,0.024,0.015,0.208,0.922,0.009,135000
0.077,0.134,0.764,0.847,0.023,0.013,0.193,0.901,0.009,140000
0.071,0.117,0.737,0.81,0.021,0.012,0.175,0.879,0.009,145000
0.07,0.106,0.707,0.774,0.018,0.012,0.155,0.857,0.009,150000
0.061,0.099,0.677,0.747,0.018,0.009,0.136,0.824,0.009,155000
0.056,0.092,0.646,0.72,0.017,0.009,0.122,0.79,0.009,160000
0.05,0.086,0.618,0.693,0.017,0.009,0.111,0.759,0.009,165000
0.048,0.079,0.584,0.662,0.015,0.009,0.102,0.734,0.009,170000
0.047,0.075,0.565,0.632,0.013,0.009,0.095,0.707,0.009,175000
0.047,0.066,0.543,0.605,0.013,0.009,0.089,0.682,0.009,180000
0.043,0.062,0.519,0.585,0.012,0.009,0.083,0.653,0.009,185000
0.037,0.058,0.496,0.559,0.012,0.009,0.078,0.635,0.009,190000
0.037,0.054,0.469,0.538,0.009,0.009,0.073,0.604,0.009,195000
0.035,0.053,0.444,0.511,0.009,0.009,0.066,0.581,0.009,2e+05
0.033,0.051,0.421,0.494,0.009,0.009,0.062,0.561,0.009,205000
0.03,0.047,0.405,0.468,0.009,0.009,0.058,0.538,0.008,210000
0.028,0.041,0.387,0.442,0.009,0.009,0.057,0.518,0.008,215000
0.024,0.039,0.362,0.424,0.009,0.009,0.054,0.498,0.008,220000
0.024,0.036,0.339,0.41,0.009,0.009,0.052,0.473,0.008,225000
0.023,0.034,0.32,0.387,0.009,0.009,0.051,0.453,0.008,230000
0.023,0.032,0.301,0.366,0.009,0.009,0.044,0.431,0.007,235000
0.022,0.031,0.29,0.346,0.009,0.009,0.041,0.415,0.007,240000
0.021,0.029,0.281,0.328,0.009,0.009,0.039,0.392,0.007,245000
0.021,0.026,0.267,0.309,0.009,0.009,0.036,0.374,0.007,250000
0.021,0.024,0.26,0.298,0.009,0.009,0.036,0.35,0.007,255000
0.02,0.024,0.242,0.286,0.009,0.008,0.033,0.339,0.007,260000
0.02,0.024,0.238,0.282,0.009,0.008,0.032,0.323,0.007,265000
0.019,0.023,0.231,0.272,0.009,0.008,0.03,0.309,0.007,270000
0.019,0.023,0.225,0.256,0.009,0.008,0.029,0.296,0.007,275000
0.019,0.022,0.215,0.245,0.009,0.008,0.026,0.288,0.007,280000
0.018,0.022,0.205,0.239,0.009,0.008,0.026,0.28,0.006,285000
0.017,0.023,0.2,0.232,0.009,0.007,0.026,0.272,0.006,290000
0.016,0.023,0.191,0.224,0.009,0.007,0.025,0.262,0.006,295000
0.015,0.022,0.187,0.218,0.009,0.007,0.025,0.251,0.006,3e+05
0.014,0.021,0.184,0.207,0.009,0.007,0.024,0.241,0.006,305000
0.013,0.021,0.178,0.199,0.009,0.007,0.024,0.236,0.006,310000
0.012,0.021,0.172,0.195,0.009,0.007,0.024,0.23,0.006,315000
0.011,0.02,0.165,0.193,0.009,0.007,0.024,0.223,0.006,320000
0.01,0.019,0.16,0.185,0.009,0.007,0.025,0.212,0.005,325000
0.01,0.019,0.156,0.178,0.009,0.007,0.024,0.204,0.005,330000
0.01,0.018,0.149,0.172,0.008,0.007,0.023,0.201,0.005,335000
0.01,0.017,0.149,0.17,0.008,0.007,0.023,0.191,0.005,340000
0.009,0.016,0.142,0.165,0.008,0.007,0.023,0.189,0.005,345000
0.009,0.014,0.135,0.158,0.008,0.007,0.023,0.183,0.004,350000
0.008,0.015,0.13,0.155,0.008,0.006,0.022,0.176,0.004,355000
