BroodYr,Spawn,Recruit,Hatch_Pinks,Hatch_Pinks_Rtn_Yr,Goal
1962,26866 ,54520 ,0,1964,YES
1963,63984 ,63949 ,0,1965,YES
1964,22200 ,163130 ,0,1966,YES
1965,62500 ,77666 ,0,1967,YES
1966,82500 ,86158 ,0,1968,YES
1967,33000 ,153332 ,0,1969,YES
1968,11800 ,137508 ,0,1970,NO
1969,81000 ,91748 ,0,1971,YES
1970,35200 ,220866 ,0,1972,YES
1971,15000 ,46728 ,0,1973,NO
1972,51000 ,218568 ,0,1974,YES
1973,55000 ,233688 ,0,1975,YES
1974,22334 ,110825 ,0,1976,YES
1975,34855 ,191528 ,0,1977,YES
1976,9056 ,173531 ,0,1978,NO
1977,31562 ,1251048 ,562955,1979,YES
1978,42284 ,70303 ,1583837,1980,YES
1979,48281 ,150407 ,2361909,1981,YES
1980,142253 ,473656 ,5933952,1982,YES
1981,156112 ,496238 ,4804043,1983,YES
1982,180314 ,612159 ,5248200,1984,YES
1983,38783 ,106297 ,8426571,1985,YES
1984,63622 ,203086 ,7210456,1986,YES
1985,163342 ,16598 ,18488427,1987,YES
1986,74135 ,26918 ,11405775,1988,YES
1987,187263 ,60053 ,20740704,1989,YES
1988,72023 ,50495 ,32748688,1990,YES
1989,36881 ,9410 ,30117125,1991,YES
1990,8250 ,26127 ,7877459,1992,NO
1991,9701 ,153809 ,4855228,1993,NO
1992,29642 ,114127 ,29613221,1994,YES
1993,9232 ,67466 ,14829163,1995,NO
1994,7264 ,27939 ,20849647,1996,NO
1995,30382 ,317508 ,25904011,1997,YES
1996,38693 ,133471 ,25589365,1998,YES
1997,35010 ,44736 ,42353882,1999,YES
1998,27050 ,89490 ,34112659,2000,YES
1999,59311 ,234816 ,29808328,2001,YES
2000,28446 ,143849 ,20006500,2002,YES
2001,38547 ,15616 ,50514818,2003,YES
2002,28323 ,180332 ,21166271,2004,YES
2003,75427 ,100769 ,50572836,2005,YES
2004,30569 ,151952 ,21292465,2006,YES
2005,30313 ,25296 ,54720240,2007,YES
2006,23479 ,91527 ,41483321,2008,YES
2007,70001 ,626808 ,18246502,2009,YES
2008,29298 ,165279 ,69245897,2010,YES
2009,23186 ,78241 ,27639885,2011,YES
2010,24312 ,100928 ,23878369,2012,YES
