"variable","Mean","SD","time_series_se","perc_2.5","perc_50","perc_97.5","mc_error","converge"
"MSY","221654.084462563","63772.775001177",582.192272854532,"134030.202404578","210038.632136901","372341.992087157",0.00912916636987785,"true"
"S.eq","174999.585641333","45353.9607677614",417.221056986422,"124857.92282075","165383.382172198","280069.321971162",0.00919921986798101,"true"
"S.eq.alt","129908.536635139","28035.7281253446",260.311908511465,"95521.9346605533","124544.347788286","195396.695651822",0.00928500616597648,"true"
"S.max","76189.926068395","24903.2254994349",229.928919296727,"48055.9467375217","70880.7127370791","135043.93613281",0.00923289713221864,"true"
"S.msy","58996.7308307526","16841.4889610984",155.984457733443,"40093.1320846571","55433.08590265","98340.52573967",0.00926191609861492,"true"
"S.msy.alt","49142.7031210877","11842.8241931433",109.705540321154,"35021.7309049791","46754.3693737527","76950.9773617665",0.0092634610234838,"true"
"U.msy","0.782625341937099","0.0440422059181392",0.000399539132370096,"0.689134652905347","0.785956529984323","0.860732123786213",0.00907173298977611,"true"
"alpha","5.94571501444804","1.397442221599",0.0126953938793978,"3.6606996047345","5.79682889051236","9.14770908183416",0.00908473615808695,"true"
"alpha.c","10.798625893143","3.02191686398674",0.0270395418053295,"6.45892046808215","10.3361639905059","18.0651686564636",0.00894781128083615,"true"
"beta","0.0000140995185779541","0.00000340977105317745",0.0000000308883970078284,"0.00000740499745424765","0.0000141082102801461","0.0000208090791655384",0.0090587891462814,"true"
"lnalpha","1.7558040844643","0.23193372848453",0.00211737817539261,"1.29765427162176","1.75731102499718","2.21350347355087",0.00912923786129639,"true"
"lnalpha.c","2.34414094114067","0.261745668385745",0.00234734103321374,"1.86546219310259","2.33564881268931","2.89398570043838",0.00896802246123277,"true"
"resid.red.0","-0.024524924765532","1.08767715892418",0.00984151164440614,"-2.16669603739369","-0.0259816500199937","2.10427850519678",0.00904819188640532,"true"
"sigma.red","1.07890663873754","0.112406544189968",0.00103624374055018,"0.884025784109145","1.06927986710992","1.33000203030709",0.00921871362577364,"true"
"sigma.white","1.07890663873754","0.112406544189968",0.00103624374055018,"0.884025784109145","1.06927986710992","1.33000203030709",0.00921871362577364,"true"
"tau.red","0.886594979473526","0.180610731124458",0.00166381425272603,"0.565321356651569","0.874615602172858","1.27958794915039",0.00921215612365527,"true"
"tau.white","0.886594979473526","0.180610731124458",0.00166381425272603,"0.565321356651569","0.874615602172858","1.27958794915039",0.00921215612365527,"true"
"Smsy_lambert"," 59153.55"," 16862.13",NA," 40293.21"," 55574.14"," 98534.32",NA,"NaN"
"Umsy_lambert","0.78485526","0.04519345",NA,"0.69101138","0.78738352","0.86812033",NA,"NaN"
"Smsy_lambert80"," 47322.84"," 13489.71",NA," 32234.57"," 44459.32"," 78827.46",NA,"NaN"
